x,y
258,66567
259,67084
260,67603
261,68124
262,68647
263,69172
264,69699
265,70228
266,70759
267,71292
268,71827
269,72364
270,72903
271,73444
272,73987
273,74532
274,75079
275,75628
276,76179
277,76732
278,77287
279,77844
280,78403
281,78964
282,79527
283,80092
284,80659
285,81228
286,81799
287,82372
288,82947
289,83524
290,84103
291,84684
292,85267
293,85852
294,86439
295,87028
296,87619
297,88212
298,88807
299,89404
300,90003
301,90604
302,91207
303,91812
304,92419
305,93028
306,93639
307,94252
308,94867
309,95484
310,96103
311,96724
312,97347
313,97972
314,98599
315,99228
316,99859
317,100492
318,101127
319,101764
320,102403
321,103044
322,103687
323,104332
324,104979
325,105628
326,106279
327,106932
328,107587
329,108244
330,108903
331,109564
332,110227
333,110892
334,111559
335,112228
336,112899
337,113572
338,114247
339,114924
340,115603
341,116284
342,116967
343,117652
344,118339
345,119028
346,119719
347,120412
348,121107
349,121804
350,122503
351,123204
352,123907
353,124612
354,125319
355,126028
356,126739
357,127452
358,128167
359,128884
360,129603
361,130324
362,131047
363,131772
364,132499
365,133228
366,133959
367,134692
368,135427
369,136164
370,136903
371,137644
372,138387
373,139132
374,139879
375,140628
376,141379
377,142132
378,142887
379,143644
380,144403
381,145164
382,145927
383,146692
384,147459
385,148228
386,148999
387,149772
388,150547
389,151324
390,152103
391,152884
392,153667
393,154452
394,155239
395,156028
396,156819
397,157612
398,158407
399,159204
400,160003
401,160804
402,161607
403,162412
404,163219
405,164028
406,164839
407,165652
408,166467
409,167284
410,168103
411,168924
412,169747
413,170572
414,171399
415,172228
416,173059
417,173892
418,174727
419,175564
420,176403
421,177244
422,178087
423,178932
424,179779
425,180628
426,181479
427,182332
428,183187
429,184044
430,184903
431,185764
432,186627
433,187492
434,188359
435,189228
436,190099
437,190972
438,191847
439,192724
440,193603
441,194484
442,195367
443,196252
444,197139
445,198028
446,198919
447,199812
448,200707
449,201604
450,202503
451,203404
452,204307
453,205212
454,206119
455,207028
456,207939
457,208852
458,209767
459,210684
460,211603
461,212524
462,213447
463,214372
464,215299
465,216228
466,217159
467,218092
468,219027
469,219964
470,220903
471,221844
472,222787
473,223732
474,224679
475,225628
476,226579
477,227532
478,228487
479,229444
480,230403
481,231364
482,232327
483,233292
484,234259
485,235228
486,236199
487,237172
488,238147
489,239124
490,240103
491,241084
492,242067
493,243052
494,244039
495,245028
496,246019
497,247012
498,248007
499,249004
500,250003
501,251004
502,252007
503,253012
504,254019
505,255028
506,256039
507,257052
508,258067
509,259084
510,260103
511,261124
512,262147
513,263172
514,264199
515,265228
516,266259
517,267292
518,268327
519,269364
520,270403
521,271444
522,272487
523,273532
524,274579
525,275628
526,276679
527,277732
528,278787
529,279844
530,280903
531,281964
532,283027
533,284092
534,285159
535,286228
536,287299
537,288372
538,289447
539,290524
540,291603
541,292684
542,293767
543,294852
544,295939
545,297028
546,298119
547,299212
548,300307
549,301404
550,302503
551,303604
552,304707
553,305812
554,306919
555,308028
556,309139
557,310252
558,311367
559,312484
560,313603
561,314724
562,315847
563,316972
564,318099
565,319228
566,320359
567,321492
568,322627
569,323764
570,324903
571,326044
572,327187
573,328332
574,329479
575,330628
576,331779
577,332932
578,334087
579,335244
580,336403
581,337564
582,338727
583,339892
584,341059
585,342228
586,343399
587,344572
588,345747
589,346924
590,348103
591,349284
592,350467
593,351652
594,352839
595,354028
596,355219
597,356412
598,357607
599,358804
600,360003
601,361204
602,362407
603,363612
604,364819
605,366028
606,367239
607,368452
608,369667
609,370884
610,372103
611,373324
612,374547
613,375772
614,376999
615,378228
616,379459
617,380692
618,381927
619,383164
620,384403
621,385644
622,386887
623,388132
624,389379
625,390628
626,391879
627,393132
628,394387
629,395644
630,396903
631,398164
632,399427
633,400692
634,401959
635,403228
636,404499
637,405772
638,407047
639,408324
640,409603
641,410884
642,412167
643,413452
644,414739
645,416028
646,417319
647,418612
648,419907
649,421204
650,422503
651,423804
652,425107
653,426412
654,427719
655,429028
656,430339
657,431652
658,432967
659,434284
660,435603
661,436924
662,438247
663,439572
664,440899
665,442228
666,443559
667,444892
668,446227
669,447564
670,448903
671,450244
672,451587
673,452932
674,454279
675,455628
676,456979
677,458332
678,459687
679,461044
680,462403
681,463764
682,465127
683,466492
684,467859
685,469228
686,470599
687,471972
688,473347
689,474724
690,476103
691,477484
692,478867
693,480252
694,481639
695,483028
696,484419
697,485812
698,487207
699,488604
700,490003
701,491404
702,492807
703,494212
704,495619
705,497028
706,498439
707,499852
708,501267
709,502684
710,504103
711,505524
712,506947
713,508372
714,509799
715,511228
716,512659
717,514092
718,515527
719,516964
720,518403
721,519844
722,521287
723,522732
724,524179
725,525628
726,527079
727,528532
728,529987
729,531444
730,532903
731,534364
732,535827
733,537292
734,538759
735,540228
736,541699
737,543172
738,544647
739,546124
740,547603
741,549084
742,550567
743,552052
744,553539
745,555028
746,556519
747,558012
748,559507
749,561004
750,562503
751,564004
752,565507
753,567012
754,568519
755,570028
756,571539
757,573052
758,574567
759,576084
760,577603
761,579124
762,580647
763,582172
764,583699
765,585228
766,586759
767,588292
768,589827
769,591364
770,592903
771,594444
772,595987
773,597532
774,599079
775,600628
776,602179
777,603732
778,605287
779,606844
780,608403
781,609964
782,611527
783,613092
784,614659
785,616228
786,617799
787,619372
788,620947
789,622524
790,624103
791,625684
792,627267
793,628852
794,630439
795,632028
796,633619
797,635212
798,636807
799,638404
800,640003
801,641604
802,643207
803,644812
804,646419
805,648028
806,649639
807,651252
808,652867
809,654484
810,656103
811,657724
812,659347
813,660972
814,662599
815,664228
816,665859
817,667492
818,669127
819,670764
820,672403
821,674044
822,675687
823,677332
824,678979
825,680628
826,682279
827,683932
828,685587
829,687244
830,688903
831,690564
832,692227
833,693892
834,695559
835,697228
836,698899
837,700572
838,702247
839,703924
840,705603
841,707284
842,708967
843,710652
844,712339
845,714028
846,715719
847,717412
848,719107
849,720804
850,722503
851,724204
852,725907
853,727612
854,729319
855,731028
856,732739
857,734452
858,736167
859,737884
860,739603
861,741324
862,743047
863,744772
864,746499
865,748228
866,749959
867,751692
868,753427
869,755164
870,756903
871,758644
872,760387
873,762132
874,763879
875,765628
876,767379
877,769132
878,770887
879,772644
880,774403
881,776164
882,777927
883,779692
884,781459
885,783228
886,784999
887,786772
888,788547
889,790324
890,792103
891,793884
892,795667
893,797452
894,799239
895,801028
896,802819
897,804612
898,806407
899,808204
900,810003
901,811804
902,813607
903,815412
904,817219
905,819028
906,820839
907,822652
908,824467
909,826284
910,828103
911,829924
912,831747
913,833572
914,835399
915,837228
916,839059
917,840892
918,842727
919,844564
920,846403
921,848244
922,850087
923,851932
924,853779
925,855628
926,857479
927,859332
928,861187
929,863044
930,864903
931,866764
932,868627
933,870492
934,872359
935,874228
936,876099
937,877972
938,879847
939,881724
940,883603
941,885484
942,887367
943,889252
944,891139
945,893028
946,894919
947,896812
948,898707
949,900604
950,902503
951,904404
952,906307
953,908212
954,910119
955,912028
956,913939
957,915852
958,917767
959,919684
960,921603
961,923524
962,925447
963,927372
964,929299
965,931228
966,933159
967,935092
968,937027
969,938964
970,940903
971,942844
972,944787
973,946732
974,948679
975,950628
976,952579
977,954532
978,956487
979,958444
980,960403
981,962364
982,964327
983,966292
984,968259
985,970228
986,972199
987,974172
988,976147
989,978124
990,980103
991,982084
992,984067
993,986052
994,988039
995,990028
996,992019
997,994012
998,996007
999,998004
1000,1000003
